17 	 and we 're going to go see her next Thursday and talk about her making my wedding dress . 	 go 	 next Thursday 	 ARGM-TMP 	 redundant 	 correct 	 None 	 None
30 	 Well did she come home and say I saw her , I look like her or what ? 	 come 	 Well 	 ARGM-DIS 	 redundant 	 correct 	 None 	 None
34 	 Well I mean I 'm still American citizen 	 mean 	 Well 	 ARGM-DIS 	 redundant 	 correct 	 None 	 None
35 	 yeah , Good . an older home that you know Julie is of course carving up and making beautiful . %um 	 know 	 Julie is of course carving up and making beautiful 	 ARG1 	 redundant 	 correct 	 None 	 None
45 	 But you know it 'll never be more than about seventy or eighty percent . Which is fine . 	 know 	 But 	 ARGM-DIS 	 redundant 	 correct 	 None 	 None
55 	 But then again I 'm not sure that Kim would be interested in seeing Shape Headquarters and you know all that kind of stuff . those military things . 	 'm 	 then again 	 ARGM-ADV 	 redundant 	 correct 	 None 	 None
57 	 Is that because he 's not sleeping and 	 Is 	 because he 's not sleeping 	 ARGM-CAU 	 redundant 	 correct 	 None 	 None
59 	 %um , %um , which we had already anticipated that it was going to happen . 	 happen 	 going 	 ARGM-MOD 	 redundant 	 correct 	 None 	 None
71 	 Well you know or luck making a way and making it at ease for you to 	 know 	 Well 	 ARGM-DIS 	 redundant 	 correct 	 None 	 None
79 	 But you know the weeknights is pretty crazy . 	 know 	 But 	 ARGM-DIS 	 redundant 	 correct 	 None 	 None
87 	 And she was just really concerned about you know everything . mhm you know . What the possibilities of like 	 know 	 you 	 ARG0 	 redundant 	 correct 	 None 	 None
94 	 actually it turns out that one thing , one little bit in what I was doing , %uh , is going to turn out to be very important in the end . %uh , from what I had been reading in the literature . 	 turn 	 from what I had been reading in the literature 	 ARGM-ADV 	 redundant 	 correct 	 None 	 None
107 	 Well how often are you going ? 	 going 	 Well 	 ARGM-DIS 	 redundant 	 correct 	 None 	 None
116 	 %um , and it got back to about eighty percent . 	 got 	 back 	 ARGM-DIR 	 redundant 	 correct 	 None 	 None
125 	 Unless you became C E O of the company then maybe like a thousand dollars would be taxable , right ? 	 be 	 right 	 ARGM-DIS 	 redundant 	 correct 	 None 	 None
134 	 %um and I 'll sit and talk with Anya about some things that maybe we think that it would be neat for you to see . 	 talk 	 'll 	 ARGM-MOD 	 redundant 	 correct 	 None 	 None
141 	 and all of a sudden she 's getting conference papers rejected 	 rejected 	 all of a sudden 	 ARGM-TMP 	 redundant 	 correct 	 None 	 None
142 	 and my taxes here are fifty percent of income . 	 are 	 here 	 ARGM-LOC 	 redundant 	 correct 	 None 	 None
155 	 But you know I always worried 	 know 	 But 	 ARGM-DIS 	 redundant 	 correct 	 None 	 None
160 	 I mean yeah 	 mean 	 yeah 	 ARG1 	 redundant 	 correct 	 None 	 None
174 	 So it 's just , l- . 	 's 	 l- 	 ARGM-DIS 	 redundant 	 correct 	 None 	 None
185 	 Somehow I had this feeling that the military taste had been beaten out of you . 	 beaten 	 out 	 ARGM-DIR 	 redundant 	 correct 	 None 	 None
189 	 if that was you , yeah . yeah , she was just not in 	 was 	 not 	 ARGM-NEG 	 redundant 	 correct 	 None 	 None
191 	 Well I mean he does work his ass off 	 mean 	 Well 	 ARGM-DIS 	 redundant 	 correct 	 None 	 None
196 	 But you know , I mean that mhm . should n't be a big deal . %um 	 know 	 But 	 ARGM-DIS 	 redundant 	 correct 	 None 	 None
202 	 And , %uh , what happened was after I had turned in my thesis but before I saw Neil again , he went to a conference in Rochester and there this was a big issue among the people who were doing this work , was , that their models could n't show this as a driven frequency , 	 was 	 a big issue among the people who were doing this work 	 ARG1 	 redundant 	 correct 	 None 	 None
204 	 Well , I mean obviously since I work I ca n't get there until about six o'clock at night which is when everyone else gets there . 	 mean 	 Well 	 ARGM-DIS 	 redundant 	 correct 	 None 	 None
227 	 and Everybody has to keep them , Selema , everybody , everybody You know , 	 know 	 everybody 	 ARG1 	 redundant 	 correct 	 None 	 None
245 	 And you know my sister was n't that old 	 know 	 And 	 ARGM-DIS 	 redundant 	 correct 	 None 	 None
246 	 %um and I 'll sit and talk with Anya about some things that maybe we think that it would be neat for you to see . 	 sit 	 I 	 ARG1 	 redundant 	 correct 	 None 	 None
253 	 like mom said she said even if it was going to be in September , she said the little things I can tolerate you know if that happens you know . 	 know 	 you 	 ARG0 	 redundant 	 correct 	 None 	 None
260 	 oh oh Amway is probably going to have a rule though I could just 	 have 	 though I could just 	 ARGM-ADV 	 redundant 	 correct 	 None 	 None
