0 	 Yes she did . 	 did 	 3 	 Yes 	 ARGM-DIS 	 [0, 1] 	 redundant 	 yes 	 What did she do? 	 None
1 	 Now she had a job with an architectural group when she first got out to New York , 	 got 	 13 	 to New York 	 ARG4 	 [14, 17] 	 redundant 	 yes 	 Where did she first get out to? 	 None
7 	 if you 're in another country I mean and you 're not planning on coming back to the U S what are they going to do even if you do n't . 	 coming 	 15 	 back 	 ARGM-DIR 	 [15, 16] 	 redundant 	 yes 	 Where were they not planning on coming? 	 None
17 	 and we 're going to go see her next Thursday and talk about her making my wedding dress . 	 go 	 6 	 next Thursday 	 ARGM-TMP 	 [8, 10] 	 redundant 	 yes 	 When are we going to go see her? 	 None
36 	 and they 'll still be enough time when I come home for me to order those . 	 be 	 5 	 enough time when I come home for me to order those 	 ARG2 	 [5, 16] 	 redundant 	 yes 	 What will there still be? 	 None
41 	 like mom said she said even if it was going to be in September , she said the little things I can tolerate you know if that happens you know . 	 said 	 17 	 like mom said she said even if it was going to be in September 	 ARGM-ADV 	 [0, 14] 	 redundant 	 yes 	 What did she say? 	 None
57 	 Is that because he 's not sleeping and 	 Is 	 1 	 because he 's not sleeping 	 ARGM-CAU 	 [2, 7] 	 redundant 	 yes 	 Why is that? 	 None
58 	 and then she came over here , and %um , checked out a room here . 	 checked 	 11 	 %um 	 ARGM-ADV 	 [8, 9] 	 redundant 	 yes 	 Who checked out a room here? 	 None
63 	 But , %um Anyway , I had been kind of telling him that , you know , from my reading of the literature , I thought that this one little alteration I had made in my model was kind of clever and unique . 	 thought 	 26 	 you know , from my reading of the literature 	 ARGM-ADV 	 [14, 23] 	 redundant 	 yes 	 How did the speaker think the alteration was clever and unique? 	 None
77 	 and yeah . %uh , it 's the fact that I would be writing a letter that is the impressive part of it all . 	 's 	 7 	 yeah 	 ARGM-ADV 	 [1, 2] 	 redundant 	 yes 	 What is the fact? 	 None
95 	 But at any rate it was nice to hear from her because she said after two years there now , she %um has come to terms with this , 	 said 	 14 	 after two years there now 	 ARGM-TMP 	 [14, 19] 	 redundant 	 yes 	 When did she say she has come to terms with this? 	 None
116 	 %um , and it got back to about eighty percent . 	 got 	 5 	 back 	 ARGM-DIR 	 [5, 6] 	 redundant 	 yes 	 Where did it get to about eighty percent? 	 None
121 	 And so %uh , that 's yeah at least dealt with . 	 's 	 6 	 %uh 	 ARGM-ADV 	 [2, 3] 	 redundant 	 yes 	 What deals with something? 	 None
128 	 which , %um , is kind of interesting considering that that 's not really my thing . . Indeed . Indeed . being an experimentalist , not a theorist . 	 is 	 5 	 %um 	 ARGM-ADV 	 [2, 3] 	 redundant 	 yes 	 What is kind of interesting? 	 None
138 	 And then you know before he leaves every morning he has like two fried eggs mhm on toast with cheese %um vegetarian sausages %um and like fruit 	 know 	 4 	 he has like two fried eggs mhm on toast with cheese %um vegetarian sausages %um and like fruit 	 ARG1 	 [9, 27] 	 redundant 	 yes 	 What does someone know before he leaves every morning? 	 None
140 	 I think what we got to do is just when he comes just have lots of cereal . 	 got 	 5 	 what 	 ARG1 	 [2, 3] 	 redundant 	 yes 	 What do we have to do? 	 None
142 	 and my taxes here are fifty percent of income . 	 are 	 5 	 here 	 ARGM-LOC 	 [3, 4] 	 redundant 	 yes 	 Where are my taxes fifty percent of income? 	 None
158 	 Well it 's hard to you know not eat when somebody else is eating . 	 eat 	 9 	 you 	 ARG0 	 [5, 6] 	 redundant 	 yes 	 Who should not eat when somebody else is eating? 	 None
160 	 I mean yeah 	 mean 	 2 	 yeah 	 ARG1 	 [2, 3] 	 redundant 	 yes 	 What do you mean? 	 None
165 	 But %uh , first they have to find me . 	 have 	 6 	 first 	 ARGM-TMP 	 [3, 4] 	 redundant 	 yes 	 When do they have to find me? 	 None
167 	 you know even after you left I said , I just hope Arlita knows that you know I tried my best you know 	 left 	 6 	 I 	 ARG0 	 [6, 7] 	 redundant 	 yes 	 Who left? 	 None
185 	 Somehow I had this feeling that the military taste had been beaten out of you . 	 beaten 	 12 	 out 	 ARGM-DIR 	 [12, 13] 	 redundant 	 yes 	 Where had the military taste been beaten from you? 	 None
189 	 if that was you , yeah . yeah , she was just not in 	 was 	 11 	 not 	 ARGM-NEG 	 [12, 13] 	 redundant 	 yes 	 Who was not in? 	 None
