%uh I mean if they denied my citizenship and I became a citizen here I probably would n't be a horror either ,	mean	3	ARG1	element containing meaning	if they denied my citizenship and i became a citizen here i probably wouldn't be a horror either	if they denied my citizenship and i became a citizen here i probably would n't be a horror either	boundary_error
she said she was so concerned that this little girl was going to just get out here cause I was n't going to send back to the school , the Muslim school .	said	2	ARG1	Utterance	she was so concerned that this little girl was going to just get out here cause i was n't going to send back to the school , the muslim school .	she was so concerned that this little girl was going to just get out here cause i was n't going to send back to the school , the muslim school	boundary_error
When I talked to her I 'm talking to her like I 'm talking to you .	talking	14	ARG2	hearer	her you	to you	boundary_error
Somehow I had this feeling that the military taste had been beaten out of you .	had	3	ARG1	possession	this feeling	this feeling that the military taste had been beaten out of you	boundary_error
%um , %um , but you know I feel very at peace about everything .	feel	9	ARG1	emotion or sensation	very at peace	very at peace about everything	boundary_error
Adele went to the mass wedding .	went	2	ARG4	end point	the mass wedding	to the mass wedding	boundary_error
actually it turns out that one thing , one little bit in what I was doing , %uh , is going to turn out to be very important in the end . %uh , from what I had been reading in the literature .	reading	40	ARG1	thing read (book)	what i had been reading	in the literature what	boundary_error
actually it turns out that one thing , one little bit in what I was doing , %uh , is going to turn out to be very important in the end . %uh , from what I had been reading in the literature .	reading	40	ARG3	text, content	the literature	what	boundary_error
I said you know it 's a shame that you ca n't go no place and I can get a good report on you you know , %um , and by her going to Francis and things , and Francis seeing for herself ,	said	2	ARG1	Utterance	you know it’s a shame that you can’t go no place and i can get a good report on you you know, %um, and by her going to francis and things, and francis seeing for herself,	it 's a shame that you ca n't go no place and i can get a good report on you you know , %um , and by her going to francis and things , and francis seeing for herself you know it 's a shame that you ca n't go no place and i can get a good report on you you know , %um , and by her going to francis and things , and francis seeing for herself	boundary_error
%uh lay there let me look at my grandmother kind of thing	look	6	ARG1	thing looked at or for or on	my grandmother	at my grandmother	boundary_error
or maybe I 'll just call you when we get in Holland just to let you know we 're there ,	know	17	ARG1	fact that is known	we're there	we 're there	boundary_error
She wrote me a letter mhm . you know about her needing a lot of love , a lot of %um help and different things like this ,	needing	12	ARG1	thing needed	a lot of love a lot of %um help different things like this	a lot of love , a lot of %um help and different things like this	boundary_error
I mean I do n't think you 're going to lose that much .	think	6	ARG1	Thought	you’re going to lose that much	you 're going to lose that much	boundary_error
and %uh if it 's at night , just call Anya 's parents	call	10	ARG1	entity summoned	anya’s parents	anya 's parents	boundary_error
I 've got a student here who 's checking out rooms and stuff .	got	3	ARG1	thing had, possessed	a student here who's checking out rooms and stuff	a student a student here who 's checking out rooms and stuff	boundary_error
