8 	 I kind of want to 	 want 	 to 	 ARG1 	 right 	 incorrect 	 None 	 None
33 	 and %um it 's just been quite interesting although when she was in Rhode Island she was very disruptive , %um down there and really caused Francis a lot of stress 	 been 	 it 	 ARG1 	 right 	 incorrect 	 None 	 None
76 	 And it 'll be exactly what I want 	 want 	 exactly what 	 ARG1 	 right 	 incorrect 	 None 	 None
80 	 Alice , I 've never seen anybody eat as much as he does 	 seen 	 Alice 	 ARGM-DIS 	 right 	 incorrect 	 None 	 None
85 	 and she had to keep reminding herself . 	 reminding 	 herself 	 ARG1 	 right 	 incorrect 	 None 	 None
88 	 Well I 'm figuring it out fast because -- okay -- with not working out and all yeah . it 's pretty miserable my crunch tape . 	 's 	 it 	 ARG1 	 right 	 incorrect 	 None 	 None
91 	 so I decided that it would make sense to do this . 	 make 	 to do this 	 ARG0 	 right 	 incorrect 	 None 	 None
103 	 or maybe I 'll just call you when we get in Holland just to let you know we 're there , 	 get 	 when 	 ARGM-TMP 	 right 	 incorrect 	 None 	 None
129 	 %um , they had just moved to He 's in New York now , right ? a really nice house in Westchester . 	 's 	 He 	 ARG1 	 right 	 incorrect 	 None 	 None
148 	 So if you do n't have any ideas we 'll just put something together for you . 	 put 	 together 	 ARG2 	 right 	 incorrect 	 None 	 None
153 	 And , %uh %huh the most worthwhile thing as far as monetary value went that they stole was the pre-amplifier of my stereo . Unfortunately , because it 's a nice pre-amplifier , 	 went 	 monetary value 	 ARG1 	 right 	 incorrect 	 None 	 None
183 	 I remember So you talking a little bit about it at one point . 	 talking 	 about it 	 ARG1 	 right 	 incorrect 	 None 	 None
210 	 I found a gym yesterday here that 's only eight pounds a month which is like twelve dollars , twelve fifty 	 is 	 only eight pounds a month 	 ARG1 	 right 	 incorrect 	 None 	 None
219 	 and she has more time to be a parent . 	 be 	 she 	 ARG1 	 right 	 incorrect 	 None 	 None
220 	 you went through like the thirty six two process . 	 went 	 you 	 ARG1 	 right 	 incorrect 	 None 	 None
240 	 For a woman who is lifting not that much I do n't think yeah . You would . 	 lifting 	 not that much 	 ARG1 	 right 	 incorrect 	 None 	 None
267 	 well it seemed to make sense since I had a client to just kind of set up my own company , of sorts . 	 make 	 it 	 ARG0 	 right 	 incorrect 	 None 	 None
274 	 And then %um , I 'm not exactly sure what it is now . 	 'm 	 then 	 ARGM-TMP 	 right 	 incorrect 	 None 	 None
326 	 You know , I mean , we 're d- , you know , 	 're 	 d- 	 ARG2 	 right 	 incorrect 	 None 	 None
343 	 and just remember to ask for her mother . 	 ask 	 for her mother 	 ARG1 	 right 	 incorrect 	 None 	 None
355 	 And so %uh , that 's yeah at least dealt with . 	 dealt 	 with 	 ARG1 	 right 	 incorrect 	 None 	 None
357 	 if that was you , yeah . yeah , she was just not in 	 was 	 in 	 ARG2 	 right 	 incorrect 	 None 	 None
373 	 so that 's why it 's actually a big deal is 	 's 	 why 	 ARGM-CAU 	 right 	 incorrect 	 None 	 None
387 	 At least Well that would make sense during the summer %uh according to the stipulations of my fellowship , I can actually earn money during the summer . 	 make 	 sense 	 ARG1 	 right 	 incorrect 	 None 	 None
410 	 And so it 's 	 's 	 it 	 ARG1 	 right 	 incorrect 	 None 	 None
426 	 The only thing is , that , when you do the experiment you see it . 	 do 	 when 	 ARGM-TMP 	 right 	 incorrect 	 None 	 None
