dataset,domain,llm_label,human_label,llm_human_agree,status,num_source_candidates,human_idx,source_idxs,sentence,prd_word,prd_idx,label,span_mean,source_spans_inclusive,human_selected_spans,span_matched,grammar_status,optional,human_file,source_file
bn_gold_llmj_correct,bn,1,1,1,matched,1,1,[2166],"He was sober , he was rich and surrounded by a family who loved him but once again , Ozzy 's high would hit a low .",hit,24,ARG1,thing hit,"[(24, 25)]","[(24, 25)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,2,[2760],I think we all know that Arafat is in charge of the Palestinian Authority .,think,2,ARG0,Thinker,"[(0, 0)]","[(0, 0)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,3,[1899],I was never supportive of protocol because it did n't do what everyone needs to get done as far as climate change is concerned .,get,16,ARG0,instigator,"[(12, 12)]","[(12, 12)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,4,[633],"Just as he did that , that 's when you saw the child just walking just a few feet away from him but the officers were able to get the child away .",saw,11,ARG0,viewer,"[(9, 9)]","[(9, 9)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,5,[4373],"More than 70 people have been wounded , mostly Palestinians , but also several Israeli soldiers .",wounded,7,ARG1,injured party,"[(0, 3)]","[(0, 3)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,6,[2148],"Motorola saying it will eliminate another 3,000 jobs , 3 % of its work force .",eliminate,5,ARG0,entity removing,"[(2, 2)]","[(0, 0), (2, 2)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,7,[2390],Mr. Clinton promised the gathering at the Norfolk Naval station Wednesday that those who carried out the deadly attack that killed 17 sailors will be found .,promised,3,ARG0,promiser,"[(0, 1)]","[(0, 1)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,8,[1850],No one knows what will happen as the pups grow older and are able to open their eyes .,open,16,ARG1,thing opening,"[(16, 17)]","[(16, 17)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,9,[3846],"Not yet , says President George W. Bush , at the White House today , demanding that Khaddafi meet certain conditions first , to accept responsibility for this act , and to compensate the families .",says,4,ARG0,Sayer,"[(4, 7)]","[(4, 7)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,0,0,matched,1,10,[1010],"One only has to recall the bombing of the US Marine barracks in Lebanon in 1983 , also a month before presidential election , also at a time when Israel was involving suitable ferment at that point in Lebanon now with the Palestinians , where the United States was also attempting actively to provide some stabilizing influence and unfortunately and tragically got caught up in the maelstrom and that seems to be the salient fact of this attack .",recall,5,ARG1,memory,"[(5, 66)]","[(5, 15)]",False,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,11,[1238],Palestinian gunmen fired on an Israeli car killing the driver .,fired,3,ARG0,shooter,"[(0, 1)]","[(0, 1)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,12,[3376],Some Yemenis expressed relief to see the ship leave .,leave,9,ARG0,,"[(6, 7)]","[(6, 7)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,13,[15],"Speaking of chicks -- call it puppy love , call it maternal instinct , but , mostly it 's just out of the ordinary .",call,10,ARG1,item being labelled,"[(10, 10)]","[(10, 10)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,14,[3735],The Israeli Army said the man had been approaching the guard post in a suspicious manner .,said,4,ARG1,Utterance,"[(4, 15)]","[(4, 15)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,15,[558],The congressman was known as a fervent liberal and supporter of the arts and he was noted for his success in getting congress to finance for national endowment for the art .,noted,17,ARG1,entity under scrutiny,"[(14, 14)]","[(14, 14)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,16,[1289],"The little town I was in this southern Iraq , as far as I got , I ca n't boast of further , is where the talks took place .",got,15,ARG1,thing in motion,"[(13, 13)]","[(13, 13)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,17,[4095],The note was found in the pocket of Lieutenant Dimitri Kolesnikov whose body was one of the first to be recovered the explosions that shattered the submarine .,shattered,25,ARG0,breaker,"[(21, 22)]","[(21, 22)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,18,[2275],"The trial of two Libyans accused of bombing Pam Am Flight 103 over Lockerbie , Scotland , is entering its final stage .",accused,6,ARG1,accused,"[(3, 4)]","[(3, 4)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,19,[3717],"They are going to allow India to assemble about 140 of these bombers here in India , and they are also going to finalize a deal whereby India will acquire the Admiral Gorshkov .",acquire,30,ARG0,"agent, entity acquiring something","[(27, 27)]","[(27, 27)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,20,[3703],"They are going to allow India to assemble about 140 of these bombers here in India , and they are also going to finalize a deal whereby India will acquire the Admiral Gorshkov .",allow,5,ARG0,allower,"[(0, 0)]","[(0, 0)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,21,[3708],"They are going to allow India to assemble about 140 of these bombers here in India , and they are also going to finalize a deal whereby India will acquire the Admiral Gorshkov .",assemble,8,ARG1,construction,"[(8, 12)]","[(8, 12)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,22,[447],They do n't realize that you know the real execution is really black 's black like them .,realize,4,ARG0,new knower,"[(0, 0)]","[(0, 0)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,23,[3148],"Though a spate of pre-election violence kept some Haitians away from the polls on Sunday , the voting itself went relatively smoothly .",kept,7,ARG2,other noun,"[(9, 12)]","[(9, 12)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,24,[3917],US Energy Secretary Bill Richardson has extended an emergency order to keep electricity flowing to California .,extended,7,ARG0,"agent, entity making something be longer","[(0, 4)]","[(0, 4)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,25,[2353],We are going to take `` a closer look '' at the great Wind Cave in South Dakota .,look,9,ARG1,thing looked at or for or on,"[(10, 17)]","[(10, 17)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,26,[146],"Well , the work that we have so far in English translation suggests that , and indeed this novel , which is a celebration as well of the self of the individual , goes so far as to even divide up to the self .",celebration,24,ARG1,,"[(26, 31)]","[(26, 31)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,27,[2096],"While both the Pentagon and the Justice Department today dispatched teams of experts to Yemen to investigate the explosion , Secretary of State Madeleine Albright urged caution saying it was too early to jump to any conclusions .",dispatched,10,ARG2,dispatched to,"[(13, 14)]","[(13, 14)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,28,[4161],Yemen 's Prime Minister says at least three Yemenis will go on trial next month in connection with the attack .,go,11,ARG2,attribute of arg1,"[(11, 12)]","[(11, 12)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,1,1,matched,1,29,[296],"Yesterday , Mr. Clinton spoke to supporters in his home state of Arkansas .",spoke,5,ARG2,hearer,"[(5, 12)]","[(5, 6), (5, 12)]",True,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
bn_gold_llmj_correct,bn,1,0,0,matched,1,30,[2931],"You have also expressed concern about excessive executive compensation , particularly CEO compensation .",compensation,9,ARG2,,"[(7, 7)]",[],False,没有语法错误,False,annotations_gold_o1right_random_wlj_final.json,correct_data_bn_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,1,[10],"%um , %um , which we had already anticipated that it was going to happen .",anticipated,9,ARG0,anticipater,"[(5, 5)]","[(5, 5)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,2,[3973],"And , %uh , what happened was after I had turned in my thesis but before I saw Neil again , he went to a conference in Rochester and there this was a big issue among the people who were doing this work , was , that their models could n't show this as a driven frequency ,",turned,11,ARG1,,"[(12, 13)]","[(12, 13)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,3,[3132],And like I have n't even started mine . mhm . You know,started,7,ARG0,Agent,"[(2, 2)]","[(2, 2)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,4,[4098],And she 's just not going to have the same kind of career that she had thought about .,have,8,ARG0,owner,"[(1, 1)]","[(1, 1)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,5,[2303],And so the problem is that now they found out that it 's worth breaking into .,found,9,ARG1,,"[(10, 15)]","[(10, 15)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,6,[145],And what 's actually kind of interesting is I kept telling Neil that I thought that this was kind of significant .,kept,10,ARG0,causer of continued action,"[(8, 8)]","[(8, 8)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,7,[3967],"But you know , I mean that mhm . should n't be a big deal . %um",mean,6,ARG0,agent,"[(4, 4)]","[(4, 4)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,8,[2021],I 've got a student here who 's checking out rooms and stuff .,checking,9,ARG0,,"[(3, 4)]","[(3, 4)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,9,[3598],"I , %um , not exactly convinced that . It 's okay . You know ,",know,15,ARG0,knower,"[(13, 13)]","[(13, 13)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,10,[3393],I guess so .,guess,2,ARG0,guesser,"[(0, 0)]","[(0, 0)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,11,[4160],I know Sue is going to Rhode Island .,know,2,ARG1,fact that is known,"[(2, 7)]","[(2, 7)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,12,[4161],I know Sue is going to Rhode Island .,going,5,ARG0,goer,"[(2, 2)]","[(2, 2)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
tc_gold_llmj_correct,tc,1,1,1,matched,1,13,[691],"I said you know it 's a shame that you ca n't go no place and I can get a good report on you you know , %um , and by her going to Francis and things , and Francis seeing for herself ,",going,33,ARG0,goer,"[(31, 31)]","[(31, 31)]",True,没有语法错误,False,annotation_tc_gold_o1right_random30_wlj.json,correct_data_tc_gold.json
