4 	 So what 's happening is that the modes are oscillating out of phase so that they completely mask each other 's Exactly . %hm . oscillations on these other frequencies . 	 mask 	 completely 	 ARGM-EXT 	 right 	 yes 	 How do the modes mask each other? 	 yes 	 oscillating out of phase 	 None
32 	 and I still would like to be welcome in my own country . 	 be 	 welcome 	 ARG2 	 right 	 yes 	 What would someone still like to be? 	 yes 	 welcome in my own country 	 None
65 	 and we can like do a quick dinner or something yeah and go see whatever you want to see , 	 go 	 see whatever you want to see 	 ARG1 	 right 	 yes 	 What might someone go see? 	 yes 	 whatever you want to see 	 None
76 	 And it 'll be exactly what I want 	 want 	 exactly what 	 ARG1 	 right 	 yes 	 What exactly will it be? 	 yes 	 exactly what I want 	 None
88 	 Well I 'm figuring it out fast because -- okay -- with not working out and all yeah . it 's pretty miserable my crunch tape . 	 's 	 it 	 ARG1 	 right 	 yes 	 What is pretty miserable my crunch tape? 	 yes 	 my crunch tape 	 None
103 	 or maybe I 'll just call you when we get in Holland just to let you know we 're there , 	 get 	 when 	 ARGM-TMP 	 right 	 yes 	 When will I just call you? 	 yes 	 when we get in Holland 	 None
106 	 %um and I keep thinking maybe I 'd get in touch 	 thinking 	 maybe I 'd get in touch 	 ARG1 	 right 	 yes 	 What did someone keep thinking? 	 yes 	 maybe I'd get in touch 	 None
111 	 she just was not a little sweet little cuddly you know , 	 was 	 not 	 ARGM-NEG 	 right 	 yes 	 What was she not? 	 yes 	 a little sweet little cuddly 	 None
133 	 and she said that if it was n't for Jetta you know Jasmine 's daddy would n't be 	 be 	 n't 	 ARGM-NEG 	 right 	 yes 	 Who or what would not be if it was not for Jetta? 	 yes 	 Jasmine 's daddy 	 None
171 	 %um and I keep thinking maybe I 'd get in touch 	 keep 	 thinking maybe I 'd get in touch 	 ARG1 	 right 	 yes 	 What does the speaker keep doing? 	 yes 	 thinking maybe I'd get in touch 	 None
175 	 so if we get in the eighteenth or the nineteenth and then call you back %um when we get to a hotel or something like that . 	 call 	 back 	 ARGM-DIR 	 right 	 yes 	 How will we call you back? 	 yes 	 when we get to a hotel or something like that 	 None
