1 	 Now she had a job with an architectural group when she first got out to New York , 	 got 	 to New York 	 ARG4 	 redundant 	 yes 	 Where did she first get out to? 	 yes 	 New York 	 None
7 	 if you 're in another country I mean and you 're not planning on coming back to the U S what are they going to do even if you do n't . 	 coming 	 back 	 ARGM-DIR 	 redundant 	 yes 	 Where were they not planning on coming? 	 yes 	 back to the U S 	 None
36 	 and they 'll still be enough time when I come home for me to order those . 	 be 	 enough time when I come home for me to order those 	 ARG2 	 redundant 	 yes 	 What will there still be? 	 yes 	 enough time 	 None
41 	 like mom said she said even if it was going to be in September , she said the little things I can tolerate you know if that happens you know . 	 said 	 like mom said she said even if it was going to be in September 	 ARGM-ADV 	 redundant 	 yes 	 What did she say? 	 yes 	 the little things I can tolerate you know if that happens you know 	 None
58 	 and then she came over here , and %um , checked out a room here . 	 checked 	 %um 	 ARGM-ADV 	 redundant 	 yes 	 Who checked out a room here? 	 yes 	 she 	 None
63 	 But , %um Anyway , I had been kind of telling him that , you know , from my reading of the literature , I thought that this one little alteration I had made in my model was kind of clever and unique . 	 thought 	 you know , from my reading of the literature 	 ARGM-ADV 	 redundant 	 yes 	 How did the speaker think the alteration was clever and unique? 	 yes 	 from my reading of the literature 	 None
77 	 and yeah . %uh , it 's the fact that I would be writing a letter that is the impressive part of it all . 	 's 	 yeah 	 ARGM-ADV 	 redundant 	 yes 	 What is the fact? 	 yes 	 that I would be writing a letter 	 None
121 	 And so %uh , that 's yeah at least dealt with . 	 's 	 %uh 	 ARGM-ADV 	 redundant 	 yes 	 What deals with something? 	 yes 	 that 	 None
128 	 which , %um , is kind of interesting considering that that 's not really my thing . . Indeed . Indeed . being an experimentalist , not a theorist . 	 is 	 %um 	 ARGM-ADV 	 redundant 	 yes 	 What is kind of interesting? 	 yes 	 which 	 None
140 	 I think what we got to do is just when he comes just have lots of cereal . 	 got 	 what 	 ARG1 	 redundant 	 yes 	 What do we have to do? 	 yes 	 just when he comes just have lots of cereal 	 None
167 	 you know even after you left I said , I just hope Arlita knows that you know I tried my best you know 	 left 	 I 	 ARG0 	 redundant 	 yes 	 Who left? 	 yes 	 you 	 None
185 	 Somehow I had this feeling that the military taste had been beaten out of you . 	 beaten 	 out 	 ARGM-DIR 	 redundant 	 yes 	 Where had the military taste been beaten from you? 	 yes 	 out of you 	 None
189 	 if that was you , yeah . yeah , she was just not in 	 was 	 not 	 ARGM-NEG 	 redundant 	 yes 	 Who was not in? 	 yes 	 she 	 None
