file,lemma,roleset_id,roleset_name,role_n,role_f,role_descr
1500.xml,1500,1500.01,consisting of a quantity of 1500,1,PPT,thing that is 1500
300.xml,300,300.01,consisting of a quantity of 300,1,PPT,thing that is 300
CTE.xml,cte,cte.01,imaging scan of the intestines using computed tomography,0,PAG,performer
CTE.xml,cte,cte.01,imaging scan of the intestines using computed tomography,1,PPT,entity scanned
CTscan.xml,ct,ct.01,scan using computed tomography,0,PAG,performer
CTscan.xml,ct,ct.01,scan using computed tomography,1,PPT,entity scanned
CTscan.xml,ct,ct.01,scan using computed tomography,2,LOC,"more specific entity scanned, if in addition to ARG1"
EGD.xml,EGD,egd.01,use an endoscope to view the upper part of the gastrointestinal tract,0,PAG,doctor
EGD.xml,EGD,egd.01,use an endoscope to view the upper part of the gastrointestinal tract,1,PPT,patient
MRI.xml,MRI,mri.01,use magnetic resonance imaging,0,PAG,performer
MRI.xml,MRI,mri.01,use magnetic resonance imaging,1,PPT,entity scanned
MRI.xml,MRI,mri.01,use magnetic resonance imaging,2,LOC,"more specific entity scanned, if in addition to ARG1"
Whipple.xml,Whipple,whipple.01,"removal of several organs, including: the head of the pancreas, the duodenum or part of the duodenum, the bile duct, the gallbladder, and sometimes other tissue",0,PAG,remover
Whipple.xml,Whipple,whipple.01,"removal of several organs, including: the head of the pancreas, the duodenum or part of the duodenum, the bile duct, the gallbladder, and sometimes other tissue",1,PPT,removed
Whipple.xml,Whipple,whipple.01,"removal of several organs, including: the head of the pancreas, the duodenum or part of the duodenum, the bile duct, the gallbladder, and sometimes other tissue",2,SRC,removed from
aa.xml,aa,aa.01,awake and alert,0,PAG,awake/alert entity
aao.xml,aao,aao.01,"awake, alert and oriented (part of a neuro exam)",0,PAG,"awake, alert, and oriented person"
aao.xml,aao,aao.01,"awake, alert and oriented (part of a neuro exam)",1,PPT,"oriented to (some number out of 3, usually ""x3"" or such)"
abandon.xml,abandon,abandon.01,leave behind,0,PPT,abandoner
abandon.xml,abandon,abandon.01,leave behind,1,DIR,entity left behind
abandon.xml,abandon,abandon.01,leave behind,2,PRD,attribute of arg1
abandon.xml,abandon,abandon.02,exchange,0,PAG,abandoner
abandon.xml,abandon,abandon.02,exchange,1,PPT,"thing abandoned, left behind"
abandon.xml,abandon,abandon.02,exchange,2,GOL,preferred item
abandon.xml,abandon,abandon.03,"surrender, give_over",0,PAG,entity abandoning something
abandon.xml,abandon,abandon.03,"surrender, give_over",1,PPT,thing abandoned
abandon.xml,abandon,abandon.03,"surrender, give_over",2,GOL,"benefactive, abandoned-to"
abase.xml,abase,abase.01,"to lower in estimation, humble",0,PAG,causer of humbling
abase.xml,abase,abase.01,"to lower in estimation, humble",1,PPT,"entity lowered, humbled"
abase.xml,abase,abase.01,"to lower in estimation, humble",2,MNR,"instrument, if separate from arg 0"
abash.xml,abash,abash.01,cause shame,0,PAG,causer of shame
abash.xml,abash,abash.01,cause shame,1,PPT,abashed entity
abash.xml,abash,abash.01,cause shame,2,MNR,"instrument, if separate from arg0"
abate.xml,abate,abate.01,"to decrease,  become less strong",0,PAG,causer
abate.xml,abate,abate.01,"to decrease,  become less strong",1,PPT,entity decreased
abbreviate.xml,abbreviate,abbreviate.01,"make shorter, especially words",0,PAG,causal agent
abbreviate.xml,abbreviate,abbreviate.01,"make shorter, especially words",1,PPT,thing becoming shorter
abbreviate.xml,abbreviate,abbreviate.01,"make shorter, especially words",2,EXT,"EXT, arg1 is shortened by how much?"
abbreviate.xml,abbreviate,abbreviate.01,"make shorter, especially words",3,DIR,"start state of arg 1, original word when separate mention"
abbreviate.xml,abbreviate,abbreviate.01,"make shorter, especially words",4,PRD,"end state of arg1, new abbreviation"
abdicate.xml,abdicate,abdicate.01,to relinquish (power or responsibility),0,PAG,"abdicator, agent"
abdicate.xml,abdicate,abdicate.01,to relinquish (power or responsibility),1,DIR,responsibility
abdominal.xml,abdominal,abdominal.01,of the abdomen,1,PPT,abdominal entity
abduct.xml,abduct,abduct.01,to carry someone off by force,0,PAG,agent
abduct.xml,abduct,abduct.01,to carry someone off by force,1,PPT,person kidnapped
abduct.xml,abduct,abduct.02,move away from a central axis,0,PAG,mover
abduct.xml,abduct,abduct.02,move away from a central axis,1,PPT,thing moved
aberrate.xml,aberrate,aberrate.01,diverge from what is expected,1,PPT,thing diverging
aberrate.xml,aberrate,aberrate.01,diverge from what is expected,2,DIR,the norm
abet.xml,abet,abet.01,aid,0,PAG,agent of abetting
abet.xml,abet,abet.01,aid,1,GOL,"thing helped, action"
abhor.xml,abhor,abhor.01,despise,0,PPT,despiser
abhor.xml,abhor,abhor.01,despise,1,PAG,object of despisal
abide.xml,abide,abide.01,conform to,0,PPT,conformer
abide.xml,abide,abide.01,conform to,1,GOL,thing conformed to
ablate.xml,ablate,ablate.01,surgical removal of a body part; controlled surgical removal,0,PAG,"Agent, surgeon"
ablate.xml,ablate,ablate.01,surgical removal of a body part; controlled surgical removal,1,PPT,Material/Part of body ablated
ablate.xml,ablate,ablate.01,surgical removal of a body part; controlled surgical removal,2,SRC,"Object/Patient undergoing ablation, removed from"
ablate.xml,ablate,ablate.01,surgical removal of a body part; controlled surgical removal,3,MNR,"Instrument, incl. chemical substance"
ablate.xml,ablate,ablate.02,erode,0,PAG,cause of erosion
ablate.xml,ablate,ablate.02,erode,1,PPT,"entity removed, eroded away"
ablate.xml,ablate,ablate.02,erode,2,DIR,"eroded from, source a piece is removed from"
able.xml,able,able.01,"have an ability, skill, being able",1,PAG,entity with ability
able.xml,able,able.01,"have an ability, skill, being able",2,PPT,"ability itself, what is arg1 able to do?"
abnegate.xml,abnegate,abnegate.01,"to give up, renounce",0,PAG,person giving something up
abnegate.xml,abnegate,abnegate.01,"to give up, renounce",1,PPT,"entity given up, renounced"
abnegate.xml,abnegate,abnegate.01,"to give up, renounce",2,GOL,"Benefactive/ Malefactive, often reflexive"
abnormal.xml,abnormal,abnormal.01,"non-standard or atypical, abnormal",1,PAG,atypical thing
abolish.xml,abolish,abolish.01,"get rid of, make illegal, act of doing away with something",0,PAG,"entity getting rid of, outlawing something"
abolish.xml,abolish,abolish.01,"get rid of, make illegal, act of doing away with something",1,PPT,thing abolished
abominate.xml,abominate,abominate.01,revile,0,PPT,despiser
abominate.xml,abominate,abominate.01,revile,1,PAG,thing despised
abominate.xml,abominable,abominable.02,deplorable,0,PAG,entity deeming arg1 abominable
abominate.xml,abominable,abominable.02,deplorable,1,PPT,"snowman, or other deplorable thing"
abort.xml,abort,abort.01,to terminate,0,PAG,"causer, agent"
abort.xml,abort,abort.01,to terminate,1,PPT,entity aborted
