5 	 Nine people were injured in Gaza when gunmen opened fire on an Israeli bus . 	 fire 	 on an Israeli bus 	 ARGM-LOC 	 redundant 	 correct 	 None 	 None
8 	 Russian President was supposed to visit India as early as 97 - 1998 , but of course Boris Yeltsin 's health problems got in the way of that , and then of course , Mr. Yeltsin 's abrupt resignation last year another visit and then the subsequent election campaign and inauguration of Vladimir Putin took some time , so it 's been put off for a couple of years . 	 took 	 then 	 ARGM-TMP 	 redundant 	 correct 	 None 	 None
9 	 Russian President was supposed to visit India as early as 97 - 1998 , but of course Boris Yeltsin 's health problems got in the way of that , and then of course , Mr. Yeltsin 's abrupt resignation last year another visit and then the subsequent election campaign and inauguration of Vladimir Putin took some time , so it 's been put off for a couple of years . 	 took 	 of course 	 ARGM-DIS 	 redundant 	 correct 	 None 	 None
11 	 They know how to make a hip - hop record sound good . 	 make 	 They 	 ARG0 	 redundant 	 correct 	 None 	 None
29 	 The right of the people to cast their vote , the court said , is paramount . 	 cast 	 the people 	 ARG0 	 redundant 	 correct 	 None 	 None
40 	 When they made the decision not to move toward Bagdad with bad information , namely , the Republican Guard absolutely devastated . 	 move 	 they 	 ARG0 	 redundant 	 correct 	 None 	 None
53 	 Tonight it appears at least 82 are dead from what may have been a wrong turn . 	 are 	 from what may have been a wrong turn 	 ARGM-CAU 	 redundant 	 correct 	 None 	 None
59 	 Positive Black Soul sings in Senegal 's main language Wolof but if the music sounds like it comes straight out of the Bronx , well , you are not far off . 	 comes 	 straight 	 ARGM-MNR 	 redundant 	 correct 	 None 	 None
68 	 I mean this man took the trip on which the novel was based for political reasons , did he not ? 	 based 	 the trip 	 ARG1 	 redundant 	 correct 	 None 	 None
76 	 It was the last of several speeches he has made in recent weeks to his backers across the country . 	 speeches 	 to his backers across the country 	 ARG2 	 redundant 	 correct 	 None 	 None
89 	 That 's interesting because leading into it , while she was New Jersey governor , she sued the EPA and she was very much considering herself to be an environmentalist , and then only to end up becoming the head of the EPA and then of course , there was a lot of criticism over relaxed regulations . 	 becoming 	 only 	 ARGM-ADV 	 redundant 	 correct 	 None 	 None
