domain,predicate_id,sentence,prd_word,prd_idx,label,optional,span_mean,source_type,has_span,span_start,span_end,span_text,span_models
bn,bn_001,"The family says the chicken keeps the place clean , so she 's free to stay .",says,3,ARG0,False,Sayer,gold_only,True,0,1,The family,gold_no_anno
bn,bn_001,"The family says the chicken keeps the place clean , so she 's free to stay .",says,3,ARG1,False,Utterance,small model overlap,True,3,15,"the chicken keeps the place clean , so she 's free to stay",semicrf|treecrf
bn,bn_002,We put all these bands together .,put,2,ARG0,False,putter,gold_only,True,0,0,We,gold_no_anno
bn,bn_002,We put all these bands together .,put,2,ARG1,False,thing put,gold_only,True,2,4,all these bands,gold_no_anno
bn,bn_002,We put all these bands together .,put,2,ARG2,False,attribute of arg1,"gold_right, o1mini_wrong，deepseek_wrong",True,5,5,together,gold|semicrf|treecrf
bn,bn_003,If the workers do n't approve the steep cutbacks American says it will file for bankruptcy .,says,11,ARG0,False,Sayer,gold_only,True,9,9,American,gold_no_anno
bn,bn_003,If the workers do n't approve the steep cutbacks American says it will file for bankruptcy .,says,11,ARG1,False,Utterance,gold_only,True,11,15,it will file for bankruptcy,gold_no_anno
bn,bn_004,Electrical resources in the West Coast state are stretched to their limit with a looming threat of rolling blackouts .,stretched,9,ARG1,False,"patient, thing getting longer",gold_only,True,0,6,Electrical resources in the West Coast state,gold_no_anno
bn,bn_004,Electrical resources in the West Coast state are stretched to their limit with a looming threat of rolling blackouts .,stretched,9,ARG2,False,"EXT or TMP, by how much or until when",the label of small model not recall,True,9,11,to their limit,treecrf|自定义
bn,bn_004,Electrical resources in the West Coast state are stretched to their limit with a looming threat of rolling blackouts .,stretched,9,ARG2,False,"EXT or TMP, by how much or until when",the label of small model not recall,True,10,11,their limit,自定义
bn,bn_004,Electrical resources in the West Coast state are stretched to their limit with a looming threat of rolling blackouts .,stretched,9,ARG4,False,end point,the label of small model not recall,False,,,,
bn,bn_005,"Speaking at the Cole 's home base in Norfolk , Virginia , Admiral John Foley said that the Navy is investigating the incident .",investigating,21,ARG0,False,examiner,gold_only,True,17,18,the Navy,gold_no_anno
bn,bn_005,"Speaking at the Cole 's home base in Norfolk , Virginia , Admiral John Foley said that the Navy is investigating the incident .",investigating,21,ARG1,False,examined,gold_only,True,21,22,the incident,gold_no_anno
bn,bn_006,"The right of the people to cast their vote , the court said , is paramount .",said,13,ARG0,False,Sayer,gold_only,True,10,11,the court,gold_no_anno
bn,bn_006,"The right of the people to cast their vote , the court said , is paramount .",said,13,ARG1,False,Utterance,small model overlap,True,0,8,The right of the people to cast their vote,自定义
bn,bn_006,"The right of the people to cast their vote , the court said , is paramount .",said,13,ARG1,False,Utterance,small model overlap,True,14,15,is paramount,自定义
bn,bn_007,The Indian lawmakers were sort of clambering over each other to shake his hand as he left the parliament building .,left,17,ARG0,False,,gold_only,True,15,15,he,gold_no_anno
