dataset,domain,llm_label,human_label,llm_human_agree,status,num_source_candidates,human_idx,source_idxs,sentence,prd_word,prd_idx,label,span_mean,source_spans_inclusive,human_selected_spans,span_matched,grammar_status,optional,type,human_file,source_file
bn_gold_llmj_invalid,bn,0,1,0,matched,1,1,[2644],"3 miles of the cave have been surveyed , every inch logged by hand , then fed into a computer which plots every nook and cranny .",plots,22,ARG1,"plotted action, plan","[(22, 25)]","[(22, 25)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,2,[1229],A Palestinian terrorist leader wanted for a deadly 1985 cruise ship hijacking is in U.S. custody in Iraq .,wanted,5,ARG2,beneficiary,"[(5, 11)]",[],False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,3,[2199],"Along with the picture , the flight attendant wrote a letter saying she was praying for Jack 's safe return .",saying,12,ARG0,Sayer,"[(9, 10)]","[(5, 7)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,4,[2205],"Along with the picture , the flight attendant wrote a letter saying she was praying for Jack 's safe return .",return,20,ARG1,thing given,"[(16, 17)]","[(16, 16)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,5,[2305],And I think perhaps no one more surprised than some of the people running those firms on Wall Street .,running,14,ARG1,"machine, operation, procedure","[(14, 18)]","[(14, 15), (14, 18)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,6,[3969],"And one of the longest running struggles for international justice reached a milestone today of sorts , when a Scottish court , meeting in the Netherlands , finally officially found someone guilty in the 1988 bombing that brought down Pan Am Flight 103 .",running,6,ARG1,"machine, operation, procedure","[(6, 6)]","[(6, 6), (6, 9)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,7,[1058],Aristide was elected President for the first time ten years ago and served just months before a military coup sent him into exile in the United States .,served,13,ARG1,"job, project, service performed","[(13, 14)]","[(3, 3)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,8,[2031],"As much as I 'd love to spend every day after school sucking up to teachers instead of hanging with my friends , I do n't want this job .",hanging,19,ARG2,location,"[(19, 21)]",[],False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,0,1,matched,1,9,[3055],"As you point out , of course , for the fact of the matter is , the mistakes of Saddam Hussein made possible his removal from power ultimately .",made,22,ARG1,impelled action/ predication,"[(22, 26)]","[(22, 27)]",False,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
bn_gold_llmj_invalid,bn,0,1,0,matched,1,10,[3059],"As you point out , of course , for the fact of the matter is , the mistakes of Saddam Hussein made possible his removal from power ultimately .",removal,25,ARG2,,"[(25, 26)]","[(25, 26)]",True,没有语法错误,False,"gold_right, o1mini_wrong，deepseek_wrong",annotations_single_gold_wlj_final.json,incorrect_data_bn_gold.json
