7 	 Among other things , they would also freeze Taliban assets abroad and restrict foreign travel by Taliban officials . 	 restrict 	 also 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
10 	 NPR 's Rob Gifford reports from the Chinese capital . 	 reports 	 from the Chinese capital 	 ARGM-LOC 	 label_error 	 correct 	 ARGM-DIR 	 None
27 	 We 're determined to get to the bottom of this . 	 get 	 We 	 ARG0 	 label_error 	 correct 	 ARG1 	 None
28 	 Greg , just a logistic question , How long is it going take you to get the opinion run to you from the building behind you ? 	 run 	 to you 	 ARGM-DIR 	 label_error 	 correct 	 ARG2 	 None
51 	 In a new report , the Secretary General says democratization has now taken root as a universal norm and that the United Nations should strengthen its commitment to assisting nations that are moving toward democracy . 	 taken 	 as a universal norm 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-PRD 	 None
56 	 The first recorded discovery of the cave was in 1881 . 	 discovery 	 recorded 	 ARGM-ADJ 	 label_error 	 correct 	 ARGM-PRD 	 None
64 	 She was quite a misfit for this administration , and she showed that over and over . 	 showed 	 over and over 	 ARGM-TMP 	 label_error 	 correct 	 ARGM-ADV 	 None
70 	 He sat out 1 term after losing a U.S Senate race in the 1960s , but for 24 terms , Yates represented Chicago 's northern lake front and northern suburbs . 	 sat 	 1 term 	 ARGM-TMP 	 label_error 	 correct 	 ARG2 	 None
84 	 Nonetheless , the fact that she did meet with Bashar Al - Assad and it was n't Saudi Arabia which is traditionally being more dovish and has supported US policy , it is significant . 	 is 	 the fact that she did meet with Bashar Al - Assad and it was n't Saudi Arabia which is traditionally being more dovish and has supported US policy 	 ARG1 	 label_error 	 correct 	 ARGM-PRD 	 None
88 	 Up next a global hip - hop beat laid down in New York and danced to in the West African nation of Senegal . 	 laid 	 in New York 	 ARG2 	 label_error 	 correct 	 ARGM-LOC 	 None
90 	 Well , thank you very much for the update . 	 thank 	 very much 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-ADV 	 None
125 	 Meredith Bewl reports from Jerusalem . 	 reports 	 from Jerusalem 	 ARGM-LOC 	 label_error 	 correct 	 ARGM-DIR 	 None
129 	 Colonel Taffiq Terrawi , a director of Palestinian intelligence , was briefly detained by Israeli soldiers at a West Bank road block , where they confiscated an Israeli permit that grants him free movement in and out of the area . 	 movement 	 in and out of the area 	 ARGM-LOC 	 label_error 	 correct 	 ARG2 	 None
130 	 There was none of that for Mr. Putin , but he did receive a very warm welcome , although most ordinary Indians who were actually rather captivated by Mr. Clinton 's visit did not really pay much attention to Mr. Putin 's visit . 	 captivated 	 rather 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-EXT 	 None
139 	 He told the FBI he participated in the attack under direction of terrorist leader Osama Bin Laden . 	 participated 	 under direction of terrorist leader Osama Bin Laden 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-MNR 	 None
143 	 It also got past the puppies ' protective father . 	 got 	 past the puppies ' protective father 	 ARGM-DIR 	 label_error 	 correct 	 ARG2 	 None
145 	 The white paper says the economy still faces a daunting challenge coping with the net annual increase of 10 million people over the next decade . 	 increase 	 of 10 million people 	 ARG1 	 label_error 	 correct 	 ARGM-EXT 	 None
154 	 It how quickly they get handed . 	 handed 	 they 	 ARG1 	 label_error 	 correct 	 ARG2 	 None
170 	 When they made the decision not to move toward Bagdad with bad information , namely , the Republican Guard absolutely devastated . 	 devastated 	 absolutely 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-EXT 	 None
183 	 They say , Okay , we have lost this round , Do you mind if we keep your helicopters in the air just to be able to transport things ? and he says , Yeah , that 's all right . 	 keep 	 in the air 	 ARG2 	 label_error 	 correct 	 ARGM-LOC 	 None
186 	 They have also set up a joint working group on Afghanistan , which is of course a cause of concern for both countries . 	 set 	 also 	 ARGM-DIS 	 label_error 	 correct 	 ARGM-ADV 	 None
195 	 But there have also been a lot of delays in other areas . 	 been 	 also 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
213 	 Frustration too that Moammar Khaddafi was immune from prosecution , one of the ground rules here . 	 rules 	 ground 	 ARGM-ADJ 	 label_error 	 correct 	 ARG1 	 None
216 	 The blast , which occurred just after noon local time in Yemen , ripped a 20 x 40 foot gash in the USS Cole , a state - of - the - art destroyer that had stopped in Aden to refuel before joining the carrier George Washington in the Persian Gulf . 	 stopped 	 to refuel 	 ARGM-PNC 	 label_error 	 correct 	 ARGM-PRP 	 None
220 	 American and Yemeni patrol boats mounted with machine guns escorted the Cole out to open waters while American helicopters flew overhead . 	 escorted 	 out to open waters 	 ARGM-DIR 	 label_error 	 correct 	 ARG4 	 None
227 	 Abbas was convicted in absentia by an Italian court and sentenced to five life terms in prison . 	 convicted 	 in absentia 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-MNR 	 None
241 	 Though no trace of biological toxin was found in the trucks , U.S. intelligence officials say they have largely eliminated any other possible use for the fermenters and other equipment . 	 eliminated 	 largely 	 ARGM-MNR 	 label_error 	 correct 	 ARGM-ADV 	 None
267 	 He was right about that , but that means that he inaugurated at that point like a dozen - years war where the United States could be criticized for doing too little and acting too slowly but all we 're arguing about lately is to do with those that should have been finished in `91 when it could have been finished . 	 inaugurated 	 like a dozen - years war where the United States could be criticized for doing too little and acting too slowly 	 ARGM-MNR 	 label_error 	 correct 	 ARG1 	 None
279 	 Sony promised to debut with a million of the consoles , then cut that in half . 	 cut 	 in half 	 ARGM-MNR 	 label_error 	 correct 	 ARG2 	 None
280 	 In a new report , the Secretary General says democratization has now taken root as a universal norm and that the United Nations should strengthen its commitment to assisting nations that are moving toward democracy . 	 moving 	 toward democracy 	 ARGM-DIR 	 label_error 	 correct 	 ARG2 	 None
300 	 He 's a Libyan intelligence agent and as NBC 's Jim Maceda reports tonight from the court , many of the families of the victims think the verdict did n't go far enough . 	 reports 	 from the court 	 ARGM-LOC 	 label_error 	 correct 	 ARGM-DIR 	 None
