8 	 I kind of want to 	 want 	 4 	 to 	 ARG1 	 [4, 5] 	 right 	 no 	  	 None
10 	 but I would not feel comfortable going . 	 feel 	 5 	 but 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
14 	 oh I 'm han- 	 'm 	 3 	 oh 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
19 	 oh well the thing is your whole life has been around her mhm . more or less 	 is 	 5 	 oh well 	 ARGM-DIS 	 [0, 2] 	 right 	 no 	  	 None
26 	 but it has to be debited from a bank account so it 's got to be debited from his . 	 got 	 14 	 it 	 ARG0 	 [11, 12] 	 right 	 no 	  	 None
27 	 And they 're doing great . 	 doing 	 4 	 And 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
39 	 oh , I 'm sorry we 're going to miss her . 	 'm 	 4 	 oh 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
50 	 And she 's teaching at U R I . 	 teaching 	 4 	 And 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
66 	 But then I 've already made say like fifteen thousand or whatever here in Washington 	 made 	 6 	 But 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
69 	 %uh I mean if they denied my citizenship and I became a citizen here I probably would n't be a horror either , 	 be 	 19 	 would 	 ARGM-MOD 	 [16, 17] 	 right 	 no 	  	 None
73 	 But almighty God is 	 is 	 4 	 But 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
80 	 Alice , I 've never seen anybody eat as much as he does 	 seen 	 6 	 Alice 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
89 	 I actually got to see her I guess a day before she died . 	 guess 	 8 	 I 	 ARG0 	 [6, 7] 	 right 	 no 	  	 None
92 	 Anyway , he 's enjoying it and liking it 	 liking 	 8 	 Anyway 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
93 	 And , %um , you know , their life is a lot less complicated , 	 is 	 10 	 %um 	 ARGM-DIS 	 [2, 3] 	 right 	 no 	  	 None
96 	 and she said that if it was n't for Jetta you know Jasmine 's daddy would n't be 	 said 	 3 	 and 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
98 	 I just would n't go . 	 go 	 5 	 just 	 ARGM-ADV 	 [1, 2] 	 right 	 no 	  	 None
99 	 well she does n't run 	 run 	 5 	 n't 	 ARGM-NEG 	 [3, 4] 	 right 	 no 	  	 None
105 	 Well I would say is once you 're at a hotel uh-huh %um , why do n't you call me at work and let me know where you are , 	 say 	 4 	 would 	 ARGM-MOD 	 [2, 3] 	 right 	 no 	  	 None
114 	 And if you do , I 'll send it by email okay if I get it before this weekend 	 send 	 8 	 And 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
117 	 And this made writing my thesis very annoying because you know there was n't much discussion . 	 was 	 13 	 n't 	 ARGM-NEG 	 [13, 14] 	 right 	 no 	  	 None
118 	 so you might as well spend the time . 	 spend 	 6 	 so 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
122 	 well unfortunately for some reason she 's not like into cardio vascular . 	 's 	 7 	 well 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
124 	 So he found this new job as a financial consultant and seems to be happy with that . 	 found 	 3 	 So 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
127 	 and I still would like to be welcome in my own country . 	 like 	 5 	 still 	 ARGM-TMP 	 [2, 3] 	 right 	 no 	  	 None
131 	 but You 'll be a student 	 be 	 4 	 but 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
137 	 Well that 's good . 	 's 	 3 	 Well 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
146 	 but she crawls real fast . 	 crawls 	 3 	 but 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
151 	 and %um Francis was very worried about me because she came home two weeks before you know %um because she just was acting like a total nigger child . 	 acting 	 23 	 just 	 ARGM-ADV 	 [20, 21] 	 right 	 no 	  	 None
153 	 And , %uh %huh the most worthwhile thing as far as monetary value went that they stole was the pre-amplifier of my stereo . Unfortunately , because it 's a nice pre-amplifier , 	 went 	 14 	 monetary value 	 ARG1 	 [11, 13] 	 right 	 no 	  	 None
159 	 but yeah if you just separate normally and you have n't served at least eight years , then you owe it . 	 owe 	 20 	 yeah 	 ARGM-DIS 	 [1, 2] 	 right 	 no 	  	 None
161 	 And so I think they told me that . 	 think 	 4 	 so 	 ARGM-DIS 	 [1, 2] 	 right 	 no 	  	 None
162 	 And that 's one of those things they just never tell you up front . 	 tell 	 11 	 just 	 ARGM-ADV 	 [8, 9] 	 right 	 no 	  	 None
164 	 And %uh Ron and Doris sent us a picture of theirs 	 sent 	 6 	 And 	 ARGM-DIS 	 [0, 1] 	 right 	 no 	  	 None
169 	 but yeah if you just separate normally and you have n't served at least eight years , then you owe it . 	 separate 	 6 	 just 	 ARGM-ADV 	 [4, 5] 	 right 	 no 	  	 None
