6 	 actually it turns out that one thing , one little bit in what I was doing , %uh , is going to turn out to be very important in the end . %uh , from what I had been reading in the literature . 	 turn 	 very important 	 ARG2 	 boundary_error 	 correct 	 None 	 [352, 23, 24, 31, 4]
166 	 well it seemed to make sense since I had a client to just kind of set up my own company , of sorts . 	 seemed 	 since I had a client to just kind of set up my own company , of sorts 	 ARGM-CAU 	 boundary_error 	 correct 	 None 	 [677, 3, 6, 11, 11]
223 	 she said it is just awesome to her what is happening . 	 is 	 what is happening 	 ARG1 	 boundary_error 	 correct 	 None 	 [509, 4, 10, 11, 3]
269 	 and yeah . she 's accepted that there 's a lot of good things in Rhode Island . 	 accepted 	 yeah 	 ARGM-DIS 	 boundary_error 	 correct 	 None 	 [163, 6, 1, 3, 14]
288 	 I said mom it is when you believe in Allah , when you have faith and know when you truly give your heart to Allah , only Allah can make the way clear for you . 	 is 	 when you believe in Allah , when you have faith and know when you truly give your heart to Allah , only Allah can make the way clear for you 	 ARG2 	 boundary_error 	 correct 	 None 	 [61, 5, 5, 25, 4]
301 	 and the black 's not going to be so hot you know 	 be 	 so hot you know 	 ARG2 	 boundary_error 	 correct 	 None 	 [577, 8, 8, 10, 4]
363 	 just all of Lorraine 's friends . mhm . Who you know of course most of them mom and dad had at least met once before . 	 met 	 before 	 ARGM-TMP 	 boundary_error 	 correct 	 None 	 [780, 24, 24, 26, 29]
380 	 It develops because of irritation , because of a %um , inflammation . 	 develops 	 because of irritation 	 ARGM-CAU 	 boundary_error 	 correct 	 None 	 [1972, 2, 2, 12, 11]
412 	 oh I already told them all black 	 told 	 all black 	 ARG1 	 boundary_error 	 correct 	 None 	 [1796, 4, 6, 7, 3]
432 	 I found a gym yesterday here that 's only eight pounds a month which is like twelve dollars , twelve fifty 	 's 	 only eight pounds a month 	 ARG2 	 boundary_error 	 correct 	 None 	 [256, 8, 8, 21, 4]
496 	 like mom said she said even if it was going to be in September , she said the little things I can tolerate you know if that happens you know . 	 said 	 even if it was going to be in September 	 ARG1 	 boundary_error 	 correct 	 None 	 [92, 5, 5, 30, 3]
502 	 %uh but it 's a lot less expensive if we do it that way than if we actually make my parents in law pay it , 	 's 	 if we do it that way than if we actually make my parents in law pay it 	 ARGM-ADV 	 boundary_error 	 correct 	 None 	 [788, 4, 8, 14, 10]
666 	 I think what we got to do is just when he comes just have lots of cereal . 	 have 	 just when he comes 	 ARGM-TMP 	 boundary_error 	 correct 	 None 	 [273, 14, 9, 12, 29]
670 	 the problem 's going to %uh be Anya 's American salary is taxable here and at fifty percent 	 be 	 Anya 's American salary 	 ARG2 	 boundary_error 	 correct 	 None 	 [330, 7, 7, 18, 4]
675 	 Is it paid today ? 	 Is 	 paid today 	 ARG2 	 boundary_error 	 correct 	 None 	 [1216, 1, 2, 3, 4]
756 	 oh well the thing is your whole life has been around her mhm . more or less 	 is 	 your whole life 	 ARG2 	 boundary_error 	 correct 	 None 	 [228, 5, 5, 17, 4]
762 	 bring me back active duty and pay me for the day if they 're going to drag me off somewhere . 	 bring 	 back 	 ARG3 	 boundary_error 	 correct 	 None 	 [310, 1, 2, 5, 5]
807 	 bring me back active duty and pay me for the day if they 're going to drag me off somewhere . 	 bring 	 active duty 	 ARG3 	 boundary_error 	 correct 	 None 	 [310, 1, 2, 5, 5]
810 	 And they 're twelve and , 	 're 	 twelve 	 ARG2 	 boundary_error 	 correct 	 None 	 [1676, 3, 3, 5, 4]
