28 	 He went for a walk this morning at five seventeen . 	 went 	 for a walk 	 ARGM-PNC 	 label_error 	 yes 	 What did he go for this morning at five seventeen? 	 yes 	 a walk 	 ARG1
37 	 And she went from Penn , %um To Columbia . to Columbia to U R I . 	 went 	 to Columbia 	 ARG4 	 label_error 	 yes 	 Where did she go from Penn? 	 yes 	 To Columbia 	 ARGM-DIR
43 	 and mhm %um you know . It feels like maybe she made a compromise 	 feels 	 like maybe she made a compromise 	 ARG1 	 label_error 	 yes 	 What does it feel like? 	 yes 	 maybe she made a compromise 	 ARG2
81 	 It 's just , %uh , people get sick , 	 's 	 %uh 	 ARGM-ADV 	 label_error 	 yes 	 What is it just? 	 yes 	 people get sick 	 ARGM-DIS
143 	 bring me back active duty and pay me for the day if they 're going to drag me off somewhere . 	 drag 	 off 	 ARGM-DIR 	 label_error 	 yes 	 Where did they intend to drag someone? 	 yes 	 somewhere 	 ARG2
215 	 I found a gym yesterday here that 's only eight pounds a month which is like twelve dollars , twelve fifty 	 's 	 that 	 ARG1 	 label_error 	 yes 	 What is only eight pounds a month? 	 yes 	 a gym 	 R-ARG1
324 	 and then yeah you can just call up 	 call 	 then 	 ARGM-DIS 	 label_error 	 yes 	 When can you just call up? 	 yes 	 and then 	 ARGM-TMP
331 	 You know , I went from Chicago to U C S G to here . 	 went 	 from Chicago 	 ARGM-DIR 	 label_error 	 yes 	 Where did you go from? 	 yes 	 Chicago 	 ARG3
346 	 And in it I put , %um paint samples from Sherwin Williams uh-huh . of all the different like shades of what color I thought you might be thinking of for the bride 's maids . 	 thinking 	 for the bride 's maids 	 ARGM-PNC 	 label_error 	 yes 	 What was the speaker thinking of for the bride's maids? 	 yes 	 all the different like shades of what color I thought you might be thinking of 	 ARGM-PRP
378 	 So you have no intentions of coming over this way any time soon ? 	 coming 	 this way 	 ARGM-MNR 	 label_error 	 yes 	 Where do you have no intentions of coming? 	 yes 	 over this way 	 ARGM-DIR
399 	 You know Tufts yeah . sent her to Taiwa 	 sent 	 to Taiwa 	 ARG2 	 label_error 	 yes 	 Where did someone send her? 	 yes 	 Taiwa 	 ARG4
464 	 Told her that she could n't talk to Jasmine play with Jasmine because she said she hurt Jasmine 's Jetta you know 	 play 	 with Jasmine 	 ARG1 	 label_error 	 yes 	 Who could someone not talk to Jasmine play with? 	 yes 	 Jasmine 	 ARGM-COM
465 	 So what 's happening is that the modes are oscillating out of phase so that they completely mask each other 's Exactly . %hm . oscillations on these other frequencies . 	 oscillating 	 so that they completely mask each other 's Exactly . %hm . oscillations on these other frequencies 	 ARGM-PNC 	 label_error 	 yes 	 Why are the modes oscillating out of phase? 	 yes 	 so that they completely mask each other's oscillations on these other frequencies 	 ARGM-PRP
477 	 %um and again my husband said we were going to give it a month , you know and said he was even going to have to sheik pray over her , you know for the jen . 	 pray 	 over her 	 ARG2 	 label_error 	 yes 	 Who is someone going to have to pray over? 	 yes 	 her 	 ARG1
491 	 she 's moving out the way too quickly 	 moving 	 quickly 	 ARGM-DIS 	 label_error 	 yes 	 How is she moving out the way? 	 yes 	 too quickly 	 ARGM-MNR
504 	 If anything came up in the next year we could still go back . uh-huh . %uh you know , for Sam . 	 go 	 still 	 ARGM-ADV 	 label_error 	 yes 	 How could we go back? 	 yes 	 If anything came up in the next year 	 ARGM-TMP
522 	 and I 've said that yeah I will give a urine sample or a blood sample if they call me back for those , but they 're going to have to pay my trip back to the states . because there 's no bases in Holland and I 'm not going to pay out of my own expenses to go to Germany or something for them . 	 call 	 for those 	 ARG3 	 label_error 	 yes 	 Why will your trip back to the states need to be paid if they call you back? 	 yes 	 because there 's no bases in Holland 	 ARGM-PRP
533 	 and I 've said that yeah I will give a urine sample or a blood sample if they call me back for those , but they 're going to have to pay my trip back to the states . because there 's no bases in Holland and I 'm not going to pay out of my own expenses to go to Germany or something for them . 	 pay 	 out of my own expenses 	 ARG3 	 label_error 	 yes 	 How did the speaker say they would not pay? 	 yes 	 out of my own expenses to go to Germany or something for them 	 ARG1
652 	 I believe that by her birthday she will be living with her mother . 	 living 	 with her mother 	 ARGM-MNR 	 label_error 	 yes 	 Who will she be living with by her birthday? 	 yes 	 her mother 	 ARGM-COM
696 	 I said mom it is when you believe in Allah , when you have faith and know when you truly give your heart to Allah , only Allah can make the way clear for you . 	 give 	 truly 	 ARGM-MNR 	 label_error 	 yes 	 How do you give your heart to Allah? 	 yes 	 when you believe in Allah , when you have faith 	 ARGM-ADV
704 	 and I 've said that yeah I will give a urine sample or a blood sample if they call me back for those , but they 're going to have to pay my trip back to the states . because there 's no bases in Holland and I 'm not going to pay out of my own expenses to go to Germany or something for them . 	 go 	 for them 	 ARG3 	 label_error 	 yes 	 For whom is someone not going to pay out of their own expenses to go to Germany or something? 	 yes 	 them 	 ARGM-PRP
715 	 and it 'll look good on me , you know like fit me , Sure . which is necessary at the moment because I 'm plump 	 look 	 good 	 ARG1 	 label_error 	 yes 	 How will it look on me? 	 yes 	 good on me 	 ARG2
730 	 and it 'll look good on me , you know like fit me , Sure . which is necessary at the moment because I 'm plump 	 look 	 on me 	 ARGM-ADV 	 label_error 	 yes 	 On whom will it look good? 	 yes 	 me 	 ARGM-LOC
805 	 You know , I went from Chicago to U C S G to here . 	 went 	 to U C S G 	 ARG4 	 label_error 	 yes 	 Where did I go from Chicago? 	 yes 	 U C S G 	 ARGM-DIR
808 	 But , I do n't really like going with Anne Marie because she does n't like to stay very long . 	 going 	 with Anne Marie 	 ARGM-MNR 	 label_error 	 yes 	 Who does someone not really like going with? 	 yes 	 Anne Marie 	 ARGM-COM
