33 	 He was right about that , but that means that he inaugurated at that point like a dozen - years war where the United States could be criticized for doing too little and acting too slowly but all we 're arguing about lately is to do with those that should have been finished in `91 when it could have been finished . 	 finished 	 when it could have been finished 	 ARGM-TMP 	 boundary_error 	 correct 	 None 	 [1903, 53, 53, 61, 29]
35 	 Greg , go ahead , if you come to a passage we should hear . 	 come 	 to a passage 	 ARG4 	 boundary_error 	 correct 	 None 	 [1254, 8, 8, 14, 6]
128 	 So , as of today , I would say certainly on the surface there has been little US action . 	 say 	 certainly on the surface there has been little US action 	 ARG1 	 boundary_error 	 correct 	 None 	 [543, 9, 10, 19, 3]
137 	 Is it your sense that the United States is on the right track ? that there is a commitment here on the part of the United States to -- 	 Is 	 your sense that the United States is on the right track ? that there is a commitment here on the part of the United States to 	 ARG2 	 boundary_error 	 correct 	 None 	 [3019, 1, 2, 4, 4]
165 	 The United States and the European Union will start lifting economic sanctions against Yugoslavia today . 	 start 	 lifting economic sanctions against Yugoslavia 	 ARG1 	 boundary_error 	 correct 	 None 	 [1407, 9, 9, 15, 3]
222 	 I think a number of the reforms that have come via the Sarbanes - Oxley Act and a number of things that we have done at the SEC are basically making everybody take a new look at how they 're performing their duty as a director , how they 're performing their duties on audit committees and compensation committees and in Wall Street . 	 think 	 a number of the reforms that have come via the Sarbanes - Oxley Act and a number of things that we have done at the SEC 	 ARG1 	 boundary_error 	 correct 	 None 	 [1907, 2, 2, 63, 3]
275 	 Characters proliferate out of the imagination of the narrator so that at a certain point , you have a new he , you have a new she , you have a you , and each one of these characters tells stories , each story of which is designed to give you a deeper sense of the richness and the complexity of life in China . 	 proliferate 	 so that at a certain point , you have a new he , you have a new she , you have a you 	 ARGM-PRP 	 boundary_error 	 correct 	 None 	 [2064, 2, 9, 64, 25]
326 	 We 're all getting , this news in from the speech that the Homeland Security Secretary Tom Ridge is expected to be delivering at the international press club around 1:00 Eastern at the top of the hour . 	 delivering 	 at the top of the hour 	 ARGM-TMP 	 boundary_error 	 correct 	 None 	 [2231, 23, 28, 37, 29]
359 	 On Wednesday UN Secretary General Kofi Annan called on his organization to close its mission in Haiti citing the unstable political climate . 	 called 	 his organization 	 ARG1 	 boundary_error 	 correct 	 None 	 [3283, 8, 8, 11, 3]
373 	 David Williams , one of the POWs whose face we got to know in the coverage that we saw coming from Iraq . 	 coverage 	 that we saw coming from Iraq 	 ARGM-ADJ 	 boundary_error 	 correct 	 None 	 [2974, 16, 16, 19, 9]
381 	 Just one last thing quoting him and I wonder if you could respond to this , Christopher , he said at the very beginning of his wonderful speech to the Nobel Prize Committee , he said , `` I do not wish to waste this talk on literature by saying too much about politics and history , What I want to do is to use this opportunity to speak as one writer in the voice of an individual . '' 	 said 	 I do not wish to waste this talk on literature by saying too much about politics and history , What I want to do is to use this opportunity to speak as one writer in the voice of an individual 	 ARG1 	 boundary_error 	 correct 	 None 	 [2053, 36, 37, 78, 3]
450 	 And one of the longest running struggles for international justice reached a milestone today of sorts , when a Scottish court , meeting in the Netherlands , finally officially found someone guilty in the 1988 bombing that brought down Pan Am Flight 103 . 	 reached 	 today of sorts 	 ARGM-TMP 	 boundary_error 	 correct 	 None 	 [3804, 11, 13, 14, 29]
509 	 Today was D - Day in the murder trial which in the end brought some relief . 	 was 	 D - Day 	 ARG2 	 boundary_error 	 correct 	 None 	 [497, 2, 2, 16, 4]
534 	 At home , President Vojislav Kostunica says that he intends to promote democracy and free speech , but Kostunica just might have second thoughts , once a theater group that roasted his predecessor over the coals starts turning him on a spit . 	 starts 	 a theater group that roasted his predecessor over the coals 	 ARG0 	 boundary_error 	 correct 	 None 	 [3844, 37, 26, 29, 2]
566 	 Kids are spending $ 50 to $ 70 , you know , a pop on these games . 	 spending 	 a pop on these games 	 ARG1 	 boundary_error 	 correct 	 None 	 [117, 3, 14, 17, 3]
571 	 Reporter Lee , flying in from California , unsure if his wife was alive , today , identifying his remains , and tonight survivor John Diaz begins the long trip home to California . 	 flying 	 in 	 ARGM-DIR 	 boundary_error 	 correct 	 None 	 [2362, 4, 4, 7, 13]
576 	 The question should be what the Hosni Mubarak are they still doing there eight years after the peace process began . 	 doing 	 what 	 ARG1 	 boundary_error 	 correct 	 None 	 [28, 12, 4, 8, 3]
643 	 When they made the decision not to move toward Bagdad with bad information , namely , the Republican Guard absolutely devastated . 	 decision 	 not to move toward Bagdad with bad information 	 ARG1 	 boundary_error 	 correct 	 None 	 [336, 5, 5, 10, 3]
700 	 Since then this relationship has grown in importance to us both through good times and bad . 	 grown 	 in importance 	 ARG2 	 boundary_error 	 correct 	 None 	 [421, 6, 6, 11, 4]
