20 	 That 's an interesting question because Vladimir Putin on Wednesday addressed the Indian Parliament just as Bill Clinton had done six months ago , and I think it 's safe to say that Mr. Putin actually probably accomplished more than Mr. Clinton did in the hard concrete terms of arms sales and that sort of thing , but it was Mr. Clinton that stole the Indian lawmakers ' hearts . 	 was 	 that stole the Indian lawmakers ' hearts 	 ARG1 	 right 	 incorrect 	 None 	 None
24 	 And some people are surprised and I might even add pleased in this city that your SEC has been quick to react when Phil Purcell of Morgan Stanley made a statement that your SEC did n't think and that you did n't think expressed appropriate contrition when Bear Stearns stepped out of line in the view of the SEC . 	 stepped 	 when 	 ARGM-TMP 	 right 	 incorrect 	 None 	 None
41 	 One only has to recall the bombing of the US Marine barracks in Lebanon in 1983 , also a month before presidential election , also at a time when Israel was involving suitable ferment at that point in Lebanon now with the Palestinians , where the United States was also attempting actively to provide some stabilizing influence and unfortunately and tragically got caught up in the maelstrom and that seems to be the salient fact of this attack . 	 involving 	 when 	 R-ARGM-TMP 	 right 	 incorrect 	 None 	 None
48 	 Allison says she hopes there will be other shows that feature kids like her . 	 feature 	 that 	 R-ARG0 	 right 	 incorrect 	 None 	 None
62 	 He died yesterday of renal failure and complications from pneumonia . 	 complications 	 from pneumonia 	 ARG0 	 right 	 incorrect 	 None 	 None
85 	 I think so , Lou . 	 think 	 Lou 	 ARGM-DIS 	 right 	 incorrect 	 None 	 None
96 	 In what may have been a ripple effect of the Middle East crisis , an explosion today killed at least four sailors on a US Navy destroyer in the Yemeni port of Aden . 	 been 	 what 	 ARG1 	 right 	 incorrect 	 None 	 None
98 	 This is what the 747 slammed into Tuesday night in a blinding rain storm . 	 slammed 	 into 	 ARG2 	 right 	 incorrect 	 None 	 None
112 	 17 sailors were killed and dozens were injured when the explosion blew a huge hole into the hull of the Navy destroyer as it was refueling in Aden . 	 blew 	 when 	 ARGM-TMP 	 right 	 incorrect 	 None 	 None
116 	 And those dreams were a little closer to coming true this day , and with shows like `` Pelswick , '' they say -- well , when they get a little older , maybe people wo n't even look down first . 	 look 	 wo 	 ARGM-MOD 	 right 	 incorrect 	 None 	 None
127 	 Positive Black Soul are now the oldsters of Dakar 's hip - hop scene and they have established the template of social consciousness that many Senegalese hip - hop groups follow like Bootin Bye , which recently scored this hit about AIDS prevention . 	 follow 	 that 	 R-ARG1 	 right 	 incorrect 	 None 	 None
140 	 We are usually not sufficiently clear , we meaning the Secretariat , in explaining that sovereignty and final analysis belongs to the people and sovereignty should be seen in a democratic context . 	 are 	 We 	 ARG1 	 right 	 incorrect 	 None 	 None
141 	 When Awadi and Barry performed , they managed simultaneously to bathe in the group of American hip - hop and they keep a clear sense that they are from Senegal . 	 performed 	 When 	 ARGM-TMP 	 right 	 incorrect 	 None 	 None
147 	 Western hip - hop lyrics often revolve around the accumulation of material wealth and throwing parties . 	 revolve 	 Western hip - hop lyrics 	 ARG1 	 right 	 incorrect 	 None 	 None
156 	 It really comes from the actual bands and the fact that there 's this grassroots following that 's been there , you know , for a long time , primarily started by the Grateful Dead , at least the future by the Grateful Dead . 	 been 	 there 	 ARG2 	 right 	 incorrect 	 None 	 None
169 	 She has no idea where her husband is now , but thanks to a little help from a Delta flight attendant , she knew he got where he was going . 	 going 	 he 	 ARG1 	 right 	 incorrect 	 None 	 None
197 	 They could very well be biological weapons production facilities , but I do n't think the intelligence community has made an open and shut case . 	 shut 	 case 	 ARG1 	 right 	 incorrect 	 None 	 None
198 	 People have long struggled with the question , Why did the chicken cross the road ? - but all the Scott family wants to know is , Why did a chicken adopt their ten new puppies ? 	 adopt 	 Why 	 ARGM-CAU 	 right 	 incorrect 	 None 	 None
200 	 When Awadi and Barry performed , they managed simultaneously to bathe in the group of American hip - hop and they keep a clear sense that they are from Senegal . 	 bathe 	 in the group of American hip - hop 	 ARG1 	 right 	 incorrect 	 None 	 None
201 	 Constitutionally barred from serving a third term as Serbian President , he clung to power by having the federal parliament elect him President of Yugoslavia . 	 barred 	 Constitutionally 	 ARGM-MNR 	 right 	 incorrect 	 None 	 None
202 	 And one of the longest running struggles for international justice reached a milestone today of sorts , when a Scottish court , meeting in the Netherlands , finally officially found someone guilty in the 1988 bombing that brought down Pan Am Flight 103 . 	 found 	 when 	 ARGM-TMP 	 right 	 incorrect 	 None 	 None
208 	 It is the world at its most carnival - like , and yet it is virtually impossible , is n't it , for a Chinese artist to do something or to make a statement without its having some kind of either political effect or be political in origin . 	 statement 	 without its having some kind of either political effect or be political in origin 	 ARGM-MNR 	 right 	 incorrect 	 None 	 None
